"n_persons","any_same"
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,TRUE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
2,FALSE
